NumberInFamily,GEOID
4,42101030000
1,42101035701
1,42101029300
2,42101008302
2,42101029300
1,42101026900
3,42101012204
1,42101008301
4,42101020200
3,42101032100
5,42101030000
3,42101020101
1,42101035601
4,42101003702
1,42101035601
1,42101015600
1,42101024500
3,42101029900
1,42101013300
1,42101002000
1,42101033600
5,42101007200
5,42101031700
4,42101028300
2,42101024200
3,42101011500
1,42101024500
1,42101028600
1,42101012201
1,42101025200
1,42101027600
1,42101014000
1,42101032000
1,42101020200
1,42101027600
1,42101033600
1,42101026800
1,42101026800
1,42101030100
1,42101008301
1,42101008102
1,42101036000
1,42101014100
1,42101010700
3,42101026500
2,42101006300
6,42101018802
4,42101029900
1,42101031401
1,42101031401
1,42101011200
5,42101024300
3,42101024600
2,42101029900
2,42101029900
4,42101032600
2,42101002500
4,42101006600
1,42101009200
4,42101011100
1,42101011900
1,42101015101
1,42101003300
1,42101032000
1,42101013701
1,42101013701
3,42101024500
2,42101010800
1,42101012201
1,42101000901
1,42101026900
2,42101008302
7,42101028000
1,42101024100
1,42101013300
1,42101003300
3,42101009200
3,42101010400
1,42101008302
1,42101013702
1,42101000401
3,42101016902
3,42101016200
5,42101016200
1,42101000401
1,42101000401
1,42101008200
1,42101013900
3,42101037700
1,42101010400
1,42101035800
1,42101037700
6,42101010400
1,42101017500
2,42101002100
3,42101015102
1,42101029800
1,42101006000
2,42101016800
2,42101032300
5,42101017300
1,42101012201
4,42101019900
1,42101017300
4,42101016200
1,42101008101
1,42101008301
2,42101037700
6,42101037700
1,42101006600
5,42101016500
1,42101035500
4,42101010300
4,42101017500
6,42101008500
1,42101009300
3,42101002500
5,42101024200
1,42101001101
2,42101016400
1,42101026800
1,42101037700
1,42101013300
5,42101020500
1,42101034501
1,42101010600
1,42101011000
1,42101008301
1,42101016902
1,42101007300
2,42101010700
1,42101011000
2,42101026600
1,42101024500
1,42101020200
1,42101038301
2,42101024500
1,42101007400
1,42101008301
1,42101001400
1,42101023600
4,42101017601
1,42101024500
2,42101014100
1,42101011900
4,42101002500
1,42101002500
2,42101001500
1,42101037700
1,42101008301
5,42101020200
4,42101034701
1,42101020101
2,42101028700
1,42101028902
1,42101011100
1,42101025500
3,42101016800
3,42101028300
3,42101016800
1,42101025400
1,42101033701
2,42101002000
1,42101024500
1,42101008500
1,42101003600
3,42101002500
2,42101001500
2,42101002500
1,42101002500
2,42101002500
1,42101009300
3,42101037700
4,42101003701
1,42101027600
1,42101014900
3,42101007400
1,42101013300
1,42101013300
1,42101013300
5,42101015102
3,42101037700
4,42101028000
4,42101012204
1,42101034502
2,42101028000
3,42101020200
3,42101016300
2,42101017500
1,42101023600
3,42101029300
5,42101016400
1,42101006000
1,42101026800
1,42101008301
1,42101028000
3,42101031200
5,42101008101
2,42101013900
1,42101008302
1,42101013900
2,42101036000
1,42101036202
1,42101032500
1,42101028000
5,42101026301
3,42101003100
2,42101006700
1,42101033701
3,42101010400
4,42101026302
1,42101028100
2,42101025700
2,42101027901
2,42101011100
1,42101030000
1,42101014900
6,42101010400
3,42101024400
4,42101006400
1,42101017300
3,42101020400
5,42101008301
1,42101003600
3,42101034701
2,42101037900
4,42101033000
1,42101024100
1,42101009300
11,42101024400
1,42101024100
2,42101009500
8,42101016701
3,42101011100
3,42101032300
4,42101009600
3,42101010000
2,42101039001
1,42101035702
3,42101004103
4,42101038200
1,42101028200
1,42101036000
1,42101033600
1,42101036000
1,42101010800
3,42101036000
2,42101017500
5,42101026500
3,42101018802
3,42101029800
5,42101030501
1,42101027402
3,42101034802
4,42101010200
2,42101013300
1,42101035702
2,42101009300
1,
1,42101016400
1,42101007000
4,42101009300
2,42101034802
5,42101017400
3,42101018802
1,42101024700
1,42101028200
6,42101032000
2,42101010100
1,42101008301
1,42101035601
1,42101008301
1,42101011200
4,42101025300
3,42101024700
4,42101017500
2,42101025300
4,42101006200
4,42101024900
1,42101028000
3,42101025800
1,42101006700
1,42101030600
3,42101014900
2,42101024500
5,42101025300
3,42101008302
3,42101034900
3,42101033000
4,42101025300
1,42101019800
5,42101033000
3,42101011500
3,42101033800
3,42101024000
3,42101010400
2,42101035800
3,42101026800
4,42101020400
2,42101017100
3,42101013900
1,42101024100
4,42101028000
2,42101036201
2,42101013701
2,42101006700
1,42101003701
1,42101032500
8,42101016701
5,42101016702
5,42101026600
1,42101008301
3,42101012100
1,42101010100
1,42101016701
1,42101033701
2,42101009300
3,42101007101
2,42101002701
6,42101015200
3,42101019700
6,42101032600
2,42101007102
1,42101024600
2,42101025400
1,42101006500
1,
1,42101035500
1,42101033600
1,42101012201
3,42101029800
1,42101035800
2,42101036501
1,42101029800
3,42101011300
1,42101031000
2,42101030100
3,42101010000
2,42101017702
2,42101013900
6,42101019700
5,42101016400
1,42101033800
1,42101036302
1,42101008000
3,42101028901
2,42101039001
1,42101010200
